,Age,Gender,Income,Location,Device,Interest_Category,Time_Spent_on_Site,Number_of_Pages_Viewed,Click
0,56,Male,99003,Rural,Mobile,Sports,81.97932372203496,7,0
1,46,Male,72395,Suburban,Tablet,Sports,59.85407026849012,3,1
2,32,Male,59758,Suburban,Tablet,Sports,78.86198880331823,2,0
3,60,Male,74312,Urban,Tablet,Technology,9.411578800617086,6,0
4,25,Female,88670,Suburban,Mobile,Fashion,76.46840860553023,9,0
5,38,Female,35434,Rural,Tablet,Technology,94.45593613674087,10,1
6,56,Male,84047,Urban,Mobile,Sports,62.54121144420487,4,1
7,36,Male,67775,Rural,Mobile,Travel,46.114032769132244,3,1
8,40,Male,95769,Rural,Tablet,Technology,36.9040745021126,9,1
9,28,Male,86677,Rural,Desktop,Fashion,78.92223576863948,17,1
10,28,Male,65734,Suburban,Desktop,Sports,84.67213784243951,14,0
11,41,Female,60603,Suburban,Tablet,Technology,105.16127398419239,10,1
12,53,Female,96708,Rural,Tablet,Travel,44.36841948301393,13,0
13,57,Female,88803,Rural,Mobile,Technology,93.52381534934234,12,0
14,41,Female,59332,Urban,Tablet,Fashion,69.55591978177387,1,0
15,20,Male,41312,Urban,Mobile,Technology,106.5261964279791,19,1
16,39,Male,64179,Suburban,Tablet,Travel,65.69839245399638,19,1
17,19,Male,91442,Suburban,Desktop,Travel,64.52743026576624,6,1
18,41,Male,60379,Urban,Desktop,Fashion,71.45586436570454,13,1
19,61,Male,37297,Rural,Tablet,Travel,91.17126584137996,19,1
20,47,Female,22011,Suburban,Mobile,Sports,115.93940506527301,13,1
21,55,Male,64014,Rural,Desktop,Travel,13.45978573481305,4,1
22,19,Female,31738,Urban,Mobile,Sports,11.144979274966975,2,1
23,38,Female,67498,Suburban,Tablet,Technology,112.81828880184393,15,0
24,50,Female,31120,Suburban,Tablet,Sports,65.9356969345937,12,1
25,29,Female,28767,Urban,Desktop,Sports,75.71384667519764,7,0
26,39,Male,42852,Suburban,Tablet,Technology,60.47871418339382,18,0
27,61,Female,99239,Urban,Desktop,Travel,15.770607049859567,13,0
28,42,Female,20929,Suburban,Mobile,Sports,93.33027851814666,17,0
29,44,Female,97487,Urban,Desktop,Travel,90.93083418518749,4,1
30,59,Male,37438,Suburban,Desktop,Technology,40.84588197167338,14,1
31,45,Male,68515,Rural,Mobile,Fashion,40.217513201266044,13,0
32,33,Male,25744,Rural,Desktop,Travel,101.35175880413463,3,0
33,32,Female,62417,Rural,Desktop,Travel,13.321084640252561,18,0
34,64,Female,27069,Suburban,Tablet,Fashion,106.32709206100508,14,1
35,61,Male,62359,Suburban,Mobile,Fashion,34.51609433803016,15,0
36,20,Female,39799,Rural,Desktop,Technology,73.1932459918818,3,0
37,54,Male,90188,Rural,Mobile,Travel,112.63933058520443,1,1
38,24,Male,27597,Urban,Mobile,Travel,82.98408767671434,17,0
39,38,Female,67093,Urban,Desktop,Technology,52.65942843370921,3,1
40,26,Female,57226,Urban,Tablet,Travel,84.29643402412275,14,1
41,56,Female,92127,Rural,Mobile,Sports,44.557658176382574,3,0
42,35,Female,97362,Rural,Desktop,Sports,36.8847178801564,13,0
43,21,Male,46417,Rural,Mobile,Sports,119.61857696248816,15,0
44,42,Male,38693,Urban,Tablet,Travel,91.34087658567559,18,1
45,31,Male,99674,Suburban,Tablet,Sports,79.14279739890902,14,1
46,26,Male,73161,Rural,Tablet,Sports,45.85830897022166,3,1
47,43,Male,22169,Suburban,Desktop,Technology,10.65349535283054,19,0
48,19,Female,42052,Suburban,Desktop,Technology,8.571540744042895,8,0
49,37,Male,91849,Suburban,Tablet,Fashion,68.73084437661186,4,0
50,45,Male,93851,Urban,Desktop,Fashion,92.63376291949088,4,0
51,64,Male,28036,Suburban,Tablet,Fashion,66.79860690104334,19,0
52,24,Female,51778,Rural,Desktop,Fashion,101.69028327299817,11,0
53,61,Female,47734,Urban,Tablet,Technology,8.844051305720487,1,1
54,25,Female,43173,Rural,Mobile,Technology,47.176488788983114,8,1
55,64,Female,50403,Rural,Tablet,Technology,32.26309498503048,15,1
56,52,Male,86321,Urban,Tablet,Sports,56.436391338069036,1,0
57,31,Male,91675,Rural,Desktop,Sports,13.323285217324084,7,1
58,34,Female,26344,Rural,Desktop,Fashion,114.72513878067335,11,1
59,53,Female,38800,Urban,Desktop,Sports,30.674371122976506,14,1
60,57,Male,45372,Rural,Desktop,Travel,111.06539418061224,16,0
61,21,Male,81516,Suburban,Desktop,Technology,53.977712829218405,14,0
62,19,Female,40538,Rural,Desktop,Fashion,118.33527532435008,12,1
63,23,Female,83918,Suburban,Mobile,Fashion,68.71671409792424,17,0
64,59,Female,34973,Rural,Tablet,Travel,112.04577938021785,14,0
65,21,Female,91155,Urban,Tablet,Sports,5.615133699835627,10,0
66,46,Male,79500,Urban,Tablet,Fashion,91.04746271080352,14,0
67,35,Male,56575,Rural,Mobile,Sports,108.85082510678927,18,1
68,43,Male,62261,Urban,Tablet,Sports,21.067865202579718,9,0
69,61,Female,47716,Rural,Mobile,Travel,16.05447294919742,17,1
70,51,Female,23236,Urban,Mobile,Fashion,53.82584982638489,6,1
71,27,Male,35848,Suburban,Mobile,Sports,112.37307420528754,8,0
72,53,Male,22352,Rural,Tablet,Sports,67.37445442190045,13,0
73,31,Male,21932,Suburban,Mobile,Travel,65.65749332799919,18,0
74,48,Male,96449,Suburban,Tablet,Travel,21.229503604422014,5,1
75,32,Female,28556,Rural,Tablet,Sports,5.090793775720161,6,1
76,25,Male,25498,Suburban,Desktop,Travel,98.16611043572804,19,1
77,31,Male,96118,Rural,Desktop,Sports,15.071074743417396,4,1
78,40,Male,70098,Suburban,Mobile,Fashion,77.89272915456226,7,1
79,57,Male,84386,Rural,Mobile,Technology,110.18089226924702,4,1
80,38,Male,29569,Rural,Tablet,Travel,28.994970013219568,11,1
81,33,Male,76882,Urban,Mobile,Technology,81.50637616724474,12,0
82,62,Male,90393,Rural,Mobile,Sports,14.050336321363588,14,1
83,35,Female,20340,Rural,Tablet,Sports,74.4318415413255,13,1
84,64,Female,63949,Suburban,Mobile,Sports,23.852147909618317,10,1
85,41,Female,82443,Rural,Mobile,Technology,89.63465945924547,18,1
86,43,Female,94027,Urban,Tablet,Sports,39.641598901299446,16,0
87,42,Male,20138,Suburban,Tablet,Travel,58.289966012534315,5,1
88,62,Female,20358,Suburban,Desktop,Fashion,73.9345123331765,8,1
89,58,Female,95250,Urban,Tablet,Fashion,24.696442226617553,14,0
90,46,Male,50654,Suburban,Desktop,Travel,90.2883491410264,5,0
91,32,Male,45879,Suburban,Mobile,Fashion,39.80363917323368,8,1
92,62,Female,75778,Suburban,Tablet,Technology,81.17276388996665,6,1
93,18,Female,57772,Suburban,Tablet,Sports,23.20255083042797,16,1
94,42,Male,78478,Urban,Tablet,Sports,84.13353080873028,4,1
95,24,Female,84353,Urban,Mobile,Sports,19.7416283732031,12,1
96,26,Male,46762,Suburban,Desktop,Technology,53.91599707104812,11,1
97,41,Male,33283,Suburban,Mobile,Technology,33.42869847997083,3,0
98,18,Male,83922,Urban,Mobile,Technology,91.063153684241,12,0
99,61,Male,59420,Urban,Tablet,Travel,35.13402551829057,5,1
100,25,Female,75568,Urban,Desktop,Technology,106.39749023547057,6,1
101,41,Male,40219,Suburban,Mobile,Fashion,107.55932431176048,19,1
102,28,Male,77169,Suburban,Tablet,Travel,27.59075125062037,18,0
